Folder   CrystalOptimizer_Utot (kJ/mol)   CrystalOptimizer_Density (g/cm3)
607        -58.21879                      1.282700                      
608        -58.20534                      1.220800                      
609        -58.18959                      1.224100                      
610        -58.17439                      1.262600                      
611        -58.15844                      1.292200                      
612        -58.10948                      1.162500                      
613        -58.09861                      1.221400                      
614        -58.08535                      1.281200                      
615        -58.07959                      1.249900                      
616        -58.07889                      1.257800                      
617        -58.07183                      1.243000                      
618        -58.06920                      1.250600                      
619        -58.01990                      1.157700                      
620        -58.01632                      1.262600                      
621        -58.01023                      1.160100                      
622        -58.00743                      1.236400                      
623        -58.00522                      1.278500                      
624        -57.96906                      1.213300                      
625        -57.96714                      1.236000                      
626        -57.96573                      1.215400                      
627        -57.94098                      1.204600                      
628        -57.94026                      1.227600                      
629        -57.92470                      1.265100                      
630        -57.91120                      1.249800                      
631        -57.89685                      1.278100                      
632        -57.89023                      1.225200                      
633        -57.86648                      1.159800                      
634        -57.86103                      1.223900                      
635        -57.83672                      1.324700                      
636        -57.80887                      1.274400                      
637        -57.79000                      1.269800                      
638        -57.78066                      1.132900                      
639        -57.77112                      1.271700                      
640        -57.76476                      1.252700                      
641        -57.73423                      1.270100                      
642        -57.71846                      1.202100                      
643        -57.69773                      1.265400                      
644        -57.69512                      1.165000                      
645        -57.68939                      1.214400                      
646        -57.66744                      1.288400                      
647        -57.61632                      1.289200                      
648        -57.59240                      1.240400                      
649        -57.58878                      1.160900                      
650        -57.57942                      1.224900                      
651        -57.57529                      1.209000                      
652        -57.56077                      1.273700                      
653        -57.49560                      1.258500                      
654        -57.48527                      1.225300                      
655        -57.48419                      1.110900                      
656        -57.48125                      1.227700                      
657        -57.47067                      1.209600                      
658        -57.46992                      1.207800                      
659        -57.46026                      1.252800                      
660        -57.43360                      1.171100                      
661        -57.43016                      1.216900                      
662        -57.39922                      1.212900                      
663        -57.39354                      1.209400                      
664        -57.38442                      1.298700                      
665        -57.38139                      1.319100                      
666        -57.35701                      1.205300                      
667        -57.35661                      1.154600                      
668        -57.32433                      1.212200                      
669        -57.31906                      1.173500                      
670        -57.31757                      1.251400                      
671        -57.31718                      1.137300                      
672        -57.29978                      1.243700                      
673        -57.29856                      1.191700                      
674        -57.27878                      1.275300                      
675        -57.27739                      1.253800                      
676        -57.23867                      1.256900                      
677        -57.23632                      1.184300                      
678        -57.22632                      1.269200                      
679        -57.21736                      1.061900                      
680        -57.21674                      1.312000                      
681        -57.17576                      1.228000                      
682        -57.17550                      1.309400                      
683        -57.16078                      1.274900                      
684        -57.15509                      1.158700                      
685        -57.15424                      1.280900                      
686        -57.14346                      1.286400                      
687        -57.13504                      1.153100                      
688        -57.13483                      1.226700                      
689        -57.12563                      1.236100                      
690        -57.12354                      1.273200                      
691        -57.09665                      1.316700                      
692        -57.08120                      1.189600                      
693        -57.06789                      1.214400                      
694        -57.05834                      1.239900                      
695        -57.04863                      1.193600                      
696        -57.00140                      1.217200                      
697        -56.99602                      1.190400                      
698        -56.99001                      1.197600                      
699        -56.98927                      1.270000                      
700        -56.97625                      1.326600                      
701        -56.94581                      1.268100                      
702        -56.92633                      1.275500                      
703        -56.92485                      1.235000                      
704        -56.90732                      1.201100                      
705        -56.90082                      1.231600                      
706        -56.88714                      1.329900                      
707        -56.88000                      1.233700                      
708        -56.87613                      1.232300                      
709        -56.86754                      1.218200                      
710        -56.85867                      1.228900                      
711        -56.85097                      1.299000                      
712        -56.84992                      1.253400                      
713        -56.84566                      1.014600                      
714        -56.83983                      1.221100                      
715        -56.83446                      1.171400                      
716        -56.81464                      1.215800                      
717        -56.78862                      1.191200                      
718        -56.78733                      1.148500                      
719        -56.77963                      1.230600                      
720        -56.75426                      1.229500                      
721        -56.75421                      1.012900                      
722        -56.75406                      1.330900                      
723        -56.73347                      1.188700                      
724        -56.73095                      1.073400                      
725        -56.72486                      1.273700                      
726        -56.71518                      1.204300                      
727        -56.70931                      1.156100                      
728        -56.65411                      1.211000                      
729        -56.63534                      1.224400                      
730        -56.63366                      1.185900                      
731        -56.61451                      1.211800                      
732        -56.61178                      1.271500                      
733        -56.58827                      1.255900                      
734        -56.56008                      1.200800                      
735        -56.54809                      1.179100                      
736        -56.53112                      1.188000                      
737        -56.53044                      1.240900                      
738        -56.52503                      1.217500                      
739        -56.50304                      1.117300                      
740        -56.48513                      1.172200                      
741        -56.47052                      1.274600                      
742        -56.46391                      1.195700                      
743        -56.44149                      1.137700                      
744        -56.43617                      1.226300                      
745        -56.39366                      1.200200                      
746        -56.38790                      1.220400                      
747        -56.38367                      1.280300                      
748        -56.35914                      1.257700                      
749        -56.32097                      1.316700                      
750        -56.29863                      1.211500                      
751        -56.27577                      1.180700                      
752        -56.26115                      1.189000                      
753        -56.25686                      1.203100                      
754        -56.23193                      1.243000                      
755        -56.21237                      1.201200                      
756        -56.17732                      1.188400                      
757        -56.15950                      1.066000                      
758        -56.00033                      1.224600                      
759        -55.97803                      1.253000                      
760        -55.96689                      1.176600                      
761        -55.96263                      1.208000                      
762        -55.94265                      1.172300                      
763        -55.93913                      1.219700                      
764        -55.93813                      1.224600                      
765        -55.89479                      1.212000                      
766        -55.88639                      1.188000                      
767        -55.88064                      1.269500                      
768        -55.87763                      1.174700                      
769        -55.87384                      1.220100                      
770        -55.86472                      1.215400                      
771        -55.86045                      1.290200                      
772        -55.85353                      1.197800                      
773        -55.83872                      1.277100                      
774        -55.78289                      1.324800                      
775        -55.75112                      1.176000                      
776        -55.74781                      1.229600                      
777        -55.74039                      1.208100                      
778        -55.69793                      1.171700                      
779        -55.64737                      1.181000                      
780        -55.60897                      1.236400                      
781        -55.60607                      0.887000                      
782        -55.58980                      1.117400                      
783        -55.58358                      1.149900                      
784        -55.58077                      1.201100                      
785        -55.54430                      1.216400                      
786        -55.49332                      1.190200                      
787        -55.47447                      1.163400                      
788        -55.40311                      1.210600                      
789        -55.39742                      1.212400                      
790        -55.38850                      1.230700                      
791        -55.37781                      1.195800                      
792        -55.35868                      1.219600                      
793        -55.33998                      1.207100                      
794        -55.33951                      1.177500                      
795        -55.27316                      1.326200                      
796        -55.19684                      1.222900                      
797        -55.17149                      1.174400                      
798        -55.17100                      1.224900                      
799        -55.16261                      1.194400                      
800        -55.01715                      1.161200                      
801        -55.01567                      1.322500                      
802        -55.00764                      1.202800                      
803        -54.91778                      1.300100                      
804        -54.91411                      0.607400                      
805        -54.87306                      1.272300                      
806        -54.82715                      1.283600                      
807        -54.78872                      1.202400                      
808        -54.66391                      1.180600                      
809        -54.63534                      1.249200                      
810        -54.45413                      1.247500                      
811        -54.42730                      1.182100                      
812        -54.42598                      1.248200                      
813        -54.27726                      1.166200                      
814        -54.17687                      1.273700                      
815        -54.17172                      1.191900                      
816        -53.86775                      1.241700                      
817        -53.64374                      1.320400                      
818        -53.06722                      1.307800                      
819        -52.96620                      1.319900                      
820        -50.43781                      0.620500                      
