Folder	CrystalPredictor_Ulatt(kJ/mol)	CrystalPredictor_Density(g/cm3)
693	-54.6939	1.2288
694	-54.6920	1.2788
695	-54.6856	1.2750
696	-54.6782	1.1944
697	-54.6739	1.1838
698	-54.6678	1.2446
699	-54.6651	1.1474
700	-54.6647	1.2628
701	-54.6638	1.1976
702	-54.6431	1.2226
703	-54.6403	1.2231
704	-54.6377	1.2155
705	-54.6285	1.1896
706	-54.6276	1.2447
707	-54.6193	1.2476
708	-54.6172	1.1910
709	-54.6067	1.2706
710	-54.5962	1.2224
711	-54.5766	1.1966
712	-54.5731	1.2351
713	-54.5726	1.2392
714	-54.5695	1.2627
715	-54.5610	1.1739
716	-54.5588	1.2270
717	-54.5582	1.2489
718	-54.5581	1.2138
719	-54.5553	1.1585
720	-54.5179	1.3047
721	-54.5146	1.2194
722	-54.5030	1.2954
723	-54.4822	1.1930
724	-54.4778	1.2955
725	-54.4727	1.2278
726	-54.4698	1.2945
727	-54.4572	1.1529
728	-54.4543	1.2373
729	-54.4438	0.6819
730	-54.4396	1.3027
731	-54.4346	0.6349
732	-54.4327	0.5424
733	-54.4327	0.3858
734	-54.4327	0.4726
735	-54.4327	0.4192
736	-54.4327	0.5009
737	-54.4327	0.2183
738	-54.4327	0.3111
739	-54.4327	0.2764
740	-54.4327	0.2490
741	-54.4271	1.2223
742	-54.4199	1.3021
743	-54.4139	1.2471
744	-54.4113	1.1645
745	-54.3846	1.2125
746	-54.3841	1.2242
747	-54.3741	1.2432
748	-54.3520	1.2238
749	-54.3482	1.2473
750	-54.3464	1.3096
751	-54.3435	1.2571
752	-54.3405	1.2322
753	-54.3392	1.2389
754	-54.3354	1.2637
755	-54.2970	1.2577
756	-54.2894	1.3088
757	-54.2847	1.2006
758	-54.2844	1.2836
759	-54.2803	1.3109
760	-54.2685	1.2655
761	-54.2612	1.1554
762	-54.2522	1.3480
763	-54.2375	1.1453
764	-54.2294	1.2325
765	-54.2270	1.1976
766	-54.2257	1.1761
767	-54.2119	1.2777
768	-54.2118	1.2569
769	-54.1846	1.2030
770	-54.1638	1.2516
771	-54.1526	1.2989
772	-54.1486	1.2320
773	-54.1456	1.2605
774	-54.1454	0.6256
775	-54.1438	0.5244
776	-54.1438	0.3743
777	-54.1438	0.2507
778	-54.1438	0.3116
779	-54.1438	0.2837
780	-54.1394	1.2227
781	-54.1213	1.1931
782	-54.1207	1.1785
783	-54.1157	1.2105
784	-54.0890	1.2844
785	-54.0829	1.2729
786	-54.0636	1.1759
787	-54.0600	1.2025
788	-54.0564	1.0807
789	-54.0511	1.1324
790	-54.0503	1.1569
791	-54.0422	1.3067
792	-54.0337	1.1462
793	-54.0257	1.2225
794	-54.0225	1.1355
795	-54.0136	1.2116
796	-54.0105	1.1532
797	-53.9970	1.2014
798	-53.9968	1.2465
799	-53.9864	1.0877
800	-53.9773	1.2528
801	-53.9697	1.1367
802	-53.9582	1.1824
803	-53.9576	1.2305
804	-53.9514	1.2550
805	-53.9494	1.2966
806	-53.9412	1.2181
807	-53.9301	1.1156
808	-53.9276	1.1156
809	-53.9092	1.1895
810	-53.9083	1.0971
811	-53.9080	1.0971
812	-53.9038	1.1597
813	-53.8987	1.1956
814	-53.8931	1.2358
815	-53.8887	1.2544
816	-53.8860	1.1614
817	-53.8847	1.2612
818	-53.8837	1.2091
819	-53.8635	1.2367
820	-53.8557	1.2224
821	-53.8365	1.1890
822	-53.8207	1.2125
823	-53.8197	1.1741
824	-53.8067	1.2114
825	-53.7743	1.1517
826	-53.7705	1.1517
827	-53.7419	1.2736
828	-53.7384	1.2228
829	-53.7244	1.2446
830	-53.7239	1.2206
831	-53.7176	1.2718
832	-53.7175	1.1687
833	-53.6969	1.2205
834	-53.6937	1.1785
835	-53.6876	1.2192
836	-53.6810	1.2374
837	-53.6775	1.2754
838	-53.6768	1.1250
839	-53.6720	1.1818
840	-53.6669	1.1769
841	-53.6630	1.1713
842	-53.6609	1.1768
843	-53.6518	1.2426
844	-53.6381	1.1748
845	-53.6366	1.1409
846	-53.6205	1.2134
847	-53.6138	1.1802
848	-53.6125	1.1802
849	-53.6040	1.1340
850	-53.6033	0.6428
851	-53.5996	0.6070
852	-53.5993	0.5636
853	-53.5993	0.4306
854	-53.5993	0.4943
855	-53.5992	0.4611
856	-53.5985	1.1372
857	-53.5960	0.3709
858	-53.5960	0.2973
859	-53.5960	0.3961
860	-53.5921	1.1289
861	-53.5887	1.1396
862	-53.5840	1.2692
863	-53.5790	1.1988
864	-53.5787	1.1583
865	-53.5506	1.2392
866	-53.5420	1.1684
867	-53.5375	1.2095
868	-53.5332	1.2962
869	-53.5250	1.1676
870	-53.5203	1.1756
871	-53.5067	1.1799
872	-53.5063	1.1628
873	-53.5031	1.2244
874	-53.4952	1.2473
875	-53.4895	1.2085
876	-53.4866	1.2092
877	-53.4739	1.1452
878	-53.4686	1.1536
879	-53.4355	1.1802
880	-53.4353	1.1751
881	-53.4246	1.2645
882	-53.4230	1.2126
883	-53.4072	1.2405
884	-53.4059	1.2405
885	-53.4009	1.1876
886	-53.3921	1.1598
887	-53.3912	1.2259
888	-53.3721	1.1473
889	-53.3677	1.1015
890	-53.3672	1.1619
891	-53.3648	1.1619
892	-53.3543	1.1420
893	-53.3527	1.1233
894	-53.3502	1.1679
895	-53.3485	1.0431
896	-53.3281	1.2552
897	-53.3133	1.1628
898	-53.3040	1.2216
899	-53.2893	1.1758
900	-53.2831	1.3100
901	-53.2758	1.2098
902	-53.2626	1.2472
903	-53.2620	1.2108
904	-53.2580	1.2047
905	-53.2459	1.1997
906	-53.2408	1.2162
907	-53.2255	1.2269
908	-53.2180	1.2239
909	-53.2138	1.1882
910	-53.2104	1.2147
911	-53.2096	1.1839
912	-53.2038	1.1909
913	-53.2011	1.2080
914	-53.1949	1.2040
915	-53.1933	1.2133
916	-53.1929	1.2278
917	-53.1920	1.2081
918	-53.1883	1.2362
919	-53.1864	1.1521
920	-53.1765	1.1285
921	-53.1718	1.2380
922	-53.1642	1.3155
923	-53.1631	1.2565
924	-53.1451	1.2173
925	-53.1178	1.2366
926	-53.1154	1.0427
927	-53.1128	1.1953
928	-53.1119	1.1350
929	-53.0957	1.2392
930	-53.0948	1.2376
931	-53.0846	1.1967
932	-53.0783	1.2101
933	-53.0632	1.1559
934	-53.0620	1.1112
